PostNumber,CrossSection,CrossSectionNum,Length,Comments
PSP9,Mesh,,46.57,
PSP10,Mesh,,47.28,
PSP11,Mesh,,54.54,
PSP12,Mesh,,44.52,
PSP13,Mesh,,117.77,
PSP14,Mesh,,108.82,
PSP15,Mesh,,73.31,
PSP16,Mesh,,79.11,
PSP17,Mesh,,86.12,
PSP18,Mesh,,102.2,
PSP19,Mesh,,60.28,
PSP20,Mesh,,56.45,
PSP21,Mesh,,46.84,
PSP22,Mesh,,61.53,
PSP23,Mesh,,42.43,
PSP24,Mesh,,112.25,
PSP25,Mesh,,41.84,
